Task,Task time,Index diff time,Start Time,End Time
u04_JOY_A0_2,13.23,13.204,1537889837626,1537889850856
u04_SNP_A0_1,30.663,30.6,1537975389273,1537975419936
u04_SNP_A0_2,39.617,39.536,1537975436742,1537975476359
u04_SNP_A0_3,26.731,26.676000000000002,1537975478437,1537975505168
u04_SNP_A0_4,63.339,63.208,1537975524338,1537975587677
u04_SNP_A0_5,143.617,143.312,1537975624687,1537975768304
u04_SNP_A0_6,22.139,22.092,1537975824623,1537975846762
u04_SNP_A0_7,29.609,29.548000000000002,1537975851944,1537975881553
u05_HA_A0_7,15.884,15.848,1537373091243,1537373107127
u05_HA_A0_1,12.339,12.312,1537373121632,1537373133971
u05_HA_A0_2,13.179,13.148,1537373141764,1537373154943
u05_HA_A0_3,15.623,15.588000000000001,1537373162860,1537373178483
u05_HA_A0_4,19.726,19.684,1537373204885,1537373224611
u05_HA_A0_5,65.466,65.312,1537373246324,1537373311790
u05_HA_A0_6,13.798,13.764000000000001,1537373345369,1537373359167
u05_JOY_A0_2,12.962,12.932,1538514641700,1538514654662
u05_JOY_A0_3,17.782,17.740000000000002,1538514660401,1538514678183
u05_JOY_A0_4,20.558,20.504,1538514693251,1538514713809
u05_JOY_A0_5,37.729,37.636,1538514734991,1538514772720
u05_JOY_A0_6,14.051,14.016,1538514794600,1538514808651
u05_JOY_A0_7,10.001,9.98,1538514811367,1538514821368
u05_JOY_A0_1,6.927,6.912,1538514837509,1538514844436
u05_SNP_A0_5,210.44,209.916,1536681799936,1536682010376
u05_SNP_A0_6,67.132,66.968,1536682055620,1536682122752
u05_SNP_A0_7,43.417,43.308,1536682148693,1536682192110
u05_SNP_A0_1,29.247,29.172,1536682229390,1536682258637
u05_SNP_A0_2,27.383,27.312,1536682288044,1536682315427
u05_SNP_A0_3,53.782,53.648,1536682321835,1536682375617
u05_SNP_A0_4,59.678,59.528,1536682409985,1536682469663
u06_HA_A0_7,14.082,14.072000000000001,1539905066695,1539905080777
u06_HA_A0_1,4.683,4.68,1539905097913,1539905102596
u06_HA_A0_2,15.509,15.5,1539905106931,1539905122440
u06_HA_A0_3,24.371,24.352,1539905128321,1539905152692
u06_HA_A0_4,26.798,26.776,1539905477746,1539905504544
u06_HA_A0_5,154.776,154.66400000000002,1539905537497,1539905692273
u06_HA_A0_6,19.617,19.604,1539905714597,1539905734214
u06_JOY_A0_2,15.088,15.076,1539730878624,1539730893712
u06_JOY_A0_3,28.479,28.452,1539730895605,1539730924084
u06_JOY_A0_4,24.114,24.096,1539730936734,1539730960848
u06_JOY_A0_5,37.281,37.248,1539730995763,1539731033044
u06_JOY_A0_6,17.268,17.256,1539731047760,1539731065028
u06_JOY_A0_7,10.138,10.128,1539731067812,1539731077950
u06_JOY_A0_1,15.966,15.952,1539731091832,1539731107798
u06_SNP_A0_3,29.994,29.908,1540480280857,1540480310851
u06_SNP_A0_4,80.953,80.72,1540480703316,1540480784269
